erro,potencia esquerda,potencia direita
-102.30000000000001,-67.69999999999999,-272.3
-120.9,-49.099999999999994,-290.9
-120.9,-49.099999999999994,-290.9
-111.60000000000001,-58.39999999999999,-281.6
-102.30000000000001,-67.69999999999999,-272.3
-111.60000000000001,-58.39999999999999,-281.6
-111.60000000000001,-58.39999999999999,-281.6
-111.60000000000001,-58.39999999999999,-281.6
-111.60000000000001,-58.39999999999999,-281.6
-111.60000000000001,-58.39999999999999,-281.6
-120.9,-49.099999999999994,-290.9
-130.20000000000002,-39.79999999999998,-300.20000000000005
-102.30000000000001,-67.69999999999999,-272.3
-83.7,-86.3,-253.7
-111.60000000000001,-58.39999999999999,-281.6
