erro,potencia esquerda,potencia direita
-93.0,-77.0,-263.0
-74.4,-95.6,-244.4
-74.4,-95.6,-244.4
-74.4,-95.6,-244.4
-74.4,-95.6,-244.4
-83.7,-86.3,-253.7
-102.30000000000001,-67.69999999999999,-272.3
-102.30000000000001,-67.69999999999999,-272.3
-83.7,-86.3,-253.7
-83.7,-86.3,-253.7
-111.60000000000001,-58.39999999999999,-281.6
-120.9,-49.099999999999994,-290.9
-120.9,-49.099999999999994,-290.9
-120.9,-49.099999999999994,-290.9
-120.9,-49.099999999999994,-290.9
-130.20000000000002,-39.79999999999998,-300.20000000000005
-139.5,-30.5,-309.5
-139.5,-30.5,-309.5
-130.20000000000002,-39.79999999999998,-300.20000000000005
-148.8,-21.19999999999999,-318.8
-176.70000000000002,6.700000000000017,-346.70000000000005
-176.70000000000002,6.700000000000017,-346.70000000000005
-167.4,-2.5999999999999943,-337.4
-167.4,-2.5999999999999943,-337.4
-158.10000000000002,-11.899999999999977,-328.1
-148.8,-21.19999999999999,-318.8
-130.20000000000002,-39.79999999999998,-300.20000000000005
-111.60000000000001,-58.39999999999999,-281.6
-120.9,-49.099999999999994,-290.9
-139.5,-30.5,-309.5
-111.60000000000001,-58.39999999999999,-281.6
-83.7,-86.3,-253.7
-65.10000000000001,-104.89999999999999,-235.10000000000002
-55.800000000000004,-114.19999999999999,-225.8
-65.10000000000001,-104.89999999999999,-235.10000000000002
-65.10000000000001,-104.89999999999999,-235.10000000000002
-83.7,-86.3,-253.7
-65.10000000000001,-104.89999999999999,-235.10000000000002
-74.4,-95.6,-244.4
-83.7,-86.3,-253.7
-102.30000000000001,-67.69999999999999,-272.3
-102.30000000000001,-67.69999999999999,-272.3
-102.30000000000001,-67.69999999999999,-272.3
-120.9,-49.099999999999994,-290.9
-120.9,-49.099999999999994,-290.9
-130.20000000000002,-39.79999999999998,-300.20000000000005
-130.20000000000002,-39.79999999999998,-300.20000000000005
-120.9,-49.099999999999994,-290.9
-102.30000000000001,-67.69999999999999,-272.3
-74.4,-95.6,-244.4
-83.7,-86.3,-253.7
-74.4,-95.6,-244.4
-55.800000000000004,-114.19999999999999,-225.8
-46.5,-123.5,-216.5
-37.2,-132.8,-207.2
-18.6,-151.4,-188.6
-9.3,-160.7,-179.3
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
0.0,-170.0,-170.0
-37.2,-132.8,-207.2
-83.7,-86.3,-253.7
-148.8,-21.19999999999999,-318.8
-269.70000000000005,99.70000000000005,-439.70000000000005
-334.8,164.8,-504.8
-372.0,202.0,-542.0
-362.70000000000005,192.70000000000005,-532.7
-362.70000000000005,192.70000000000005,-532.7
-362.70000000000005,192.70000000000005,-532.7
-381.3,211.3,-551.3
-372.0,202.0,-542.0
-344.1,174.10000000000002,-514.1
-306.90000000000003,136.90000000000003,-476.90000000000003
-195.3,25.30000000000001,-365.3
-223.20000000000002,53.20000000000002,-393.20000000000005
-223.20000000000002,53.20000000000002,-393.20000000000005
-213.9,43.900000000000006,-383.9
-223.20000000000002,53.20000000000002,-393.20000000000005
-148.8,-21.19999999999999,-318.8
-93.0,-77.0,-263.0
-120.9,-49.099999999999994,-290.9
-120.9,-49.099999999999994,-290.9
-93.0,-77.0,-263.0
-102.30000000000001,-67.69999999999999,-272.3
-93.0,-77.0,-263.0
-65.10000000000001,-104.89999999999999,-235.10000000000002
-37.2,-132.8,-207.2
-9.3,-160.7,-179.3
-9.3,-160.7,-179.3
-18.6,-151.4,-188.6
-9.3,-160.7,-179.3
0.0,-170.0,-170.0
0.0,-170.0,-170.0
9.3,-179.3,-160.7
9.3,-179.3,-160.7
9.3,-179.3,-160.7
9.3,-179.3,-160.7
9.3,-179.3,-160.7
18.6,-188.6,-151.4
18.6,-188.6,-151.4
18.6,-188.6,-151.4
46.5,-216.5,-123.5
27.900000000000002,-197.9,-142.1
37.2,-207.2,-132.8
37.2,-207.2,-132.8
46.5,-216.5,-123.5
46.5,-216.5,-123.5
27.900000000000002,-197.9,-142.1
18.6,-188.6,-151.4
18.6,-188.6,-151.4
18.6,-188.6,-151.4
18.6,-188.6,-151.4
27.900000000000002,-197.9,-142.1
27.900000000000002,-197.9,-142.1
27.900000000000002,-197.9,-142.1
18.6,-188.6,-151.4
18.6,-188.6,-151.4
27.900000000000002,-197.9,-142.1
18.6,-188.6,-151.4
18.6,-188.6,-151.4
18.6,-188.6,-151.4
18.6,-188.6,-151.4
18.6,-188.6,-151.4
18.6,-188.6,-151.4
18.6,-188.6,-151.4
9.3,-179.3,-160.7
18.6,-188.6,-151.4
18.6,-188.6,-151.4
27.900000000000002,-197.9,-142.1
37.2,-207.2,-132.8
46.5,-216.5,-123.5
55.800000000000004,-225.8,-114.19999999999999
120.9,-290.9,-49.099999999999994
288.3,-458.3,118.30000000000001
446.40000000000003,-616.4000000000001,276.40000000000003
678.9000000000001,-848.9000000000001,508.9000000000001
809.1,-979.1,639.1
855.6,-1000,685.6
855.6,-1000,685.6
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
855.6,-1000,685.6
855.6,-1000,685.6
855.6,-1000,685.6
846.3000000000001,-1000,676.3000000000001
846.3000000000001,-1000,676.3000000000001
837.0000000000001,-1000,667.0000000000001
697.5,-867.5,527.5
595.2,-765.2,425.20000000000005
530.1,-700.1,360.1
399.90000000000003,-569.9000000000001,229.90000000000003
353.40000000000003,-523.4000000000001,183.40000000000003
241.8,-411.8,71.80000000000001
120.9,-290.9,-49.099999999999994
83.7,-253.7,-86.3
65.10000000000001,-235.10000000000002,-104.89999999999999
55.800000000000004,-225.8,-114.19999999999999
46.5,-216.5,-123.5
9.3,-179.3,-160.7
-18.6,-151.4,-188.6
-55.800000000000004,-114.19999999999999,-225.8
-46.5,-123.5,-216.5
27.900000000000002,-197.9,-142.1
148.8,-318.8,-21.19999999999999
232.50000000000003,-402.5,62.50000000000003
362.70000000000005,-532.7,192.70000000000005
418.50000000000006,-588.5,248.50000000000006
492.90000000000003,-662.9000000000001,322.90000000000003
595.2,-765.2,425.20000000000005
716.1,-886.1,546.1
818.4000000000001,-988.4000000000001,648.4000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
855.6,-1000,685.6
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
855.6,-1000,685.6
855.6,-1000,685.6
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
855.6,-1000,685.6
846.3000000000001,-1000,676.3000000000001
837.0000000000001,-1000,667.0000000000001
799.8000000000001,-969.8000000000001,629.8000000000001
660.3000000000001,-830.3000000000001,490.30000000000007
641.7,-811.7,471.70000000000005
734.7,-904.7,564.7
762.6,-932.6,592.6
623.1,-793.1,453.1
660.3000000000001,-830.3000000000001,490.30000000000007
595.2,-765.2,425.20000000000005
585.9000000000001,-755.9000000000001,415.9000000000001
669.6,-839.6,499.6
688.2,-858.2,518.2
576.6,-746.6,406.6
502.20000000000005,-672.2,332.20000000000005
474.3,-644.3,304.3
455.70000000000005,-625.7,285.70000000000005
502.20000000000005,-672.2,332.20000000000005
427.8,-597.8,257.8
353.40000000000003,-523.4000000000001,183.40000000000003
288.3,-458.3,118.30000000000001
148.8,-318.8,-21.19999999999999
176.70000000000002,-346.70000000000005,6.700000000000017
167.4,-337.4,-2.5999999999999943
102.30000000000001,-272.3,-67.69999999999999
102.30000000000001,-272.3,-67.69999999999999
102.30000000000001,-272.3,-67.69999999999999
74.4,-244.4,-95.6
74.4,-244.4,-95.6
65.10000000000001,-235.10000000000002,-104.89999999999999
55.800000000000004,-225.8,-114.19999999999999
55.800000000000004,-225.8,-114.19999999999999
46.5,-216.5,-123.5
46.5,-216.5,-123.5
55.800000000000004,-225.8,-114.19999999999999
65.10000000000001,-235.10000000000002,-104.89999999999999
83.7,-253.7,-86.3
111.60000000000001,-281.6,-58.39999999999999
130.20000000000002,-300.20000000000005,-39.79999999999998
148.8,-318.8,-21.19999999999999
158.10000000000002,-328.1,-11.899999999999977
167.4,-337.4,-2.5999999999999943
186.0,-356.0,16.0
186.0,-356.0,16.0
176.70000000000002,-346.70000000000005,6.700000000000017
186.0,-356.0,16.0
195.3,-365.3,25.30000000000001
232.50000000000003,-402.5,62.50000000000003
269.70000000000005,-439.70000000000005,99.70000000000005
288.3,-458.3,118.30000000000001
325.5,-495.5,155.5
353.40000000000003,-523.4000000000001,183.40000000000003
344.1,-514.1,174.10000000000002
372.0,-542.0,202.0
437.1,-607.1,267.1
427.8,-597.8,257.8
427.8,-597.8,257.8
483.6,-653.6,313.6
483.6,-653.6,313.6
502.20000000000005,-672.2,332.20000000000005
567.3000000000001,-737.3000000000001,397.30000000000007
585.9000000000001,-755.9000000000001,415.9000000000001
502.20000000000005,-672.2,332.20000000000005
502.20000000000005,-672.2,332.20000000000005
585.9000000000001,-755.9000000000001,415.9000000000001
567.3000000000001,-737.3000000000001,397.30000000000007
520.8000000000001,-690.8000000000001,350.80000000000007
613.8000000000001,-783.8000000000001,443.80000000000007
576.6,-746.6,406.6
548.7,-718.7,378.70000000000005
530.1,-700.1,360.1
409.20000000000005,-579.2,239.20000000000005
353.40000000000003,-523.4000000000001,183.40000000000003
344.1,-514.1,174.10000000000002
260.40000000000003,-430.40000000000003,90.40000000000003
260.40000000000003,-430.40000000000003,90.40000000000003
269.70000000000005,-439.70000000000005,99.70000000000005
176.70000000000002,-346.70000000000005,6.700000000000017
158.10000000000002,-328.1,-11.899999999999977
139.5,-309.5,-30.5
83.7,-253.7,-86.3
83.7,-253.7,-86.3
55.800000000000004,-225.8,-114.19999999999999
46.5,-216.5,-123.5
27.900000000000002,-197.9,-142.1
27.900000000000002,-197.9,-142.1
27.900000000000002,-197.9,-142.1
18.6,-188.6,-151.4
18.6,-188.6,-151.4
18.6,-188.6,-151.4
18.6,-188.6,-151.4
18.6,-188.6,-151.4
18.6,-188.6,-151.4
18.6,-188.6,-151.4
18.6,-188.6,-151.4
27.900000000000002,-197.9,-142.1
27.900000000000002,-197.9,-142.1
27.900000000000002,-197.9,-142.1
37.2,-207.2,-132.8
37.2,-207.2,-132.8
55.800000000000004,-225.8,-114.19999999999999
102.30000000000001,-272.3,-67.69999999999999
167.4,-337.4,-2.5999999999999943
269.70000000000005,-439.70000000000005,99.70000000000005
520.8000000000001,-690.8000000000001,350.80000000000007
706.8000000000001,-876.8000000000001,536.8000000000001
846.3000000000001,-1000,676.3000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
874.2,-1000,704.2
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
874.2,-1000,704.2
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
855.6,-1000,685.6
790.5000000000001,-960.5000000000001,620.5000000000001
688.2,-858.2,518.2
706.8000000000001,-876.8000000000001,536.8000000000001
567.3000000000001,-737.3000000000001,397.30000000000007
437.1,-607.1,267.1
390.6,-560.6,220.60000000000002
241.8,-411.8,71.80000000000001
130.20000000000002,-300.20000000000005,-39.79999999999998
176.70000000000002,-346.70000000000005,6.700000000000017
74.4,-244.4,-95.6
83.7,-253.7,-86.3
83.7,-253.7,-86.3
-27.900000000000002,-142.1,-197.9
-120.9,-49.099999999999994,-290.9
-18.6,-151.4,-188.6
74.4,-244.4,-95.6
279.0,-449.0,109.0
511.50000000000006,-681.5,341.50000000000006
585.9000000000001,-755.9000000000001,415.9000000000001
660.3000000000001,-830.3000000000001,490.30000000000007
744.0,-914.0,574.0
781.2,-951.2,611.2
818.4000000000001,-988.4000000000001,648.4000000000001
855.6,-1000,685.6
855.6,-1000,685.6
855.6,-1000,685.6
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
855.6,-1000,685.6
855.6,-1000,685.6
846.3000000000001,-1000,676.3000000000001
837.0000000000001,-1000,667.0000000000001
725.4000000000001,-895.4000000000001,555.4000000000001
539.4000000000001,-709.4000000000001,369.4000000000001
427.8,-597.8,257.8
418.50000000000006,-588.5,248.50000000000006
297.6,-467.6,127.60000000000002
213.9,-383.9,43.900000000000006
195.3,-365.3,25.30000000000001
102.30000000000001,-272.3,-67.69999999999999
74.4,-244.4,-95.6
111.60000000000001,-281.6,-58.39999999999999
111.60000000000001,-281.6,-58.39999999999999
102.30000000000001,-272.3,-67.69999999999999
139.5,-309.5,-30.5
167.4,-337.4,-2.5999999999999943
167.4,-337.4,-2.5999999999999943
213.9,-383.9,43.900000000000006
288.3,-458.3,118.30000000000001
297.6,-467.6,127.60000000000002
362.70000000000005,-532.7,192.70000000000005
399.90000000000003,-569.9000000000001,229.90000000000003
390.6,-560.6,220.60000000000002
399.90000000000003,-569.9000000000001,229.90000000000003
437.1,-607.1,267.1
427.8,-597.8,257.8
465.00000000000006,-635.0,295.00000000000006
558.0,-728.0,388.0
595.2,-765.2,425.20000000000005
613.8000000000001,-783.8000000000001,443.80000000000007
623.1,-793.1,453.1
623.1,-793.1,453.1
641.7,-811.7,471.70000000000005
604.5,-774.5,434.5
595.2,-765.2,425.20000000000005
567.3000000000001,-737.3000000000001,397.30000000000007
446.40000000000003,-616.4000000000001,276.40000000000003
381.3,-551.3,211.3
306.90000000000003,-476.90000000000003,136.90000000000003
241.8,-411.8,71.80000000000001
186.0,-356.0,16.0
102.30000000000001,-272.3,-67.69999999999999
55.800000000000004,-225.8,-114.19999999999999
37.2,-207.2,-132.8
27.900000000000002,-197.9,-142.1
18.6,-188.6,-151.4
27.900000000000002,-197.9,-142.1
18.6,-188.6,-151.4
18.6,-188.6,-151.4
18.6,-188.6,-151.4
9.3,-179.3,-160.7
-27.900000000000002,-142.1,-197.9
-83.7,-86.3,-253.7
-213.9,43.900000000000006,-383.9
-390.6,220.60000000000002,-560.6
-623.1,453.1,-793.1
-781.2,611.2,-951.2
-790.5000000000001,620.5000000000001,-960.5000000000001
-790.5000000000001,620.5000000000001,-960.5000000000001
-790.5000000000001,620.5000000000001,-960.5000000000001
-790.5000000000001,620.5000000000001,-960.5000000000001
-790.5000000000001,620.5000000000001,-960.5000000000001
-790.5000000000001,620.5000000000001,-960.5000000000001
-790.5000000000001,620.5000000000001,-960.5000000000001
-771.9000000000001,601.9000000000001,-941.9000000000001
-706.8000000000001,536.8000000000001,-876.8000000000001
-585.9000000000001,415.9000000000001,-755.9000000000001
-585.9000000000001,415.9000000000001,-755.9000000000001
-567.3000000000001,397.30000000000007,-737.3000000000001
-520.8000000000001,350.80000000000007,-690.8000000000001
-520.8000000000001,350.80000000000007,-690.8000000000001
-381.3,211.3,-551.3
-279.0,109.0,-449.0
-334.8,164.8,-504.8
-204.60000000000002,34.60000000000002,-374.6
-83.7,-86.3,-253.7
-18.6,-151.4,-188.6
-9.3,-160.7,-179.3
9.3,-179.3,-160.7
18.6,-188.6,-151.4
18.6,-188.6,-151.4
-9.3,-160.7,-179.3
0.0,-170.0,-170.0
18.6,-188.6,-151.4
27.900000000000002,-197.9,-142.1
27.900000000000002,-197.9,-142.1
27.900000000000002,-197.9,-142.1
18.6,-188.6,-151.4
18.6,-188.6,-151.4
18.6,-188.6,-151.4
18.6,-188.6,-151.4
18.6,-188.6,-151.4
9.3,-179.3,-160.7
18.6,-188.6,-151.4
18.6,-188.6,-151.4
9.3,-179.3,-160.7
9.3,-179.3,-160.7
9.3,-179.3,-160.7
18.6,-188.6,-151.4
18.6,-188.6,-151.4
18.6,-188.6,-151.4
18.6,-188.6,-151.4
46.5,-216.5,-123.5
93.0,-263.0,-77.0
186.0,-356.0,16.0
362.70000000000005,-532.7,192.70000000000005
613.8000000000001,-783.8000000000001,443.80000000000007
799.8000000000001,-969.8000000000001,629.8000000000001
846.3000000000001,-1000,676.3000000000001
846.3000000000001,-1000,676.3000000000001
855.6,-1000,685.6
855.6,-1000,685.6
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
855.6,-1000,685.6
855.6,-1000,685.6
855.6,-1000,685.6
846.3000000000001,-1000,676.3000000000001
846.3000000000001,-1000,676.3000000000001
855.6,-1000,685.6
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
874.2,-1000,704.2
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
846.3000000000001,-1000,676.3000000000001
846.3000000000001,-1000,676.3000000000001
864.9000000000001,-1000,694.9000000000001
874.2,-1000,704.2
874.2,-1000,704.2
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
874.2,-1000,704.2
874.2,-1000,704.2
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
855.6,-1000,685.6
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
864.9000000000001,-1000,694.9000000000001
